input,labels,input_len,preprocessed
the result of the test,0,5,the result of the test
Recently I began to learn German .,1,7,Recently I began to learn German .
I hope to improve my reading English by reading them .,1,11,I hope to improve my reading English by reading them .
Do we need to find another way to import multiauthor feeds ?,1,12,Do we need to find another way to import multiauthor feed ?
I am very glad to be allowed to live alone by the doctor .,1,14,I am very glad to be allowed to live alone by the doctor .
The chicken is basking in the sun .,0,8,The chicken is basking in the sun .
I feel it too strange . ,0,7,I feel it too strange . 
I wish my friends never got to this website at least !,1,12,I wish my friend never got to this website at least !
"Today I decided to find a new way to improve my English , to make up a new story every day .",1,22,"Today I decided to find a new way to improve my English , to make up a new story every day ."
Why do you add an article here ?,0,8,Why do you add an article here ?
Last night,0,2,Last night
"Soon after the gatekeeper told Yuki the way to the spa , she arrived at the spa .",0,18,"Soon after the gatekeeper told Yuki the way to the spa , she arrived at the spa ."
I wonder when I finish to read .,0,8,I wonder when I finish to read .
It seems summer .,1,4,It seems summer .
During daylight my feet involuntarily went to an art cafe where I usually chill out .,1,16,During daylight my foot involuntarily went to an art cafe where I usually chill out .
This is my first real job and I have always thought if I did not sit in front of my work computer in the morning and slave myself the whole world would just crash and burn .,0,37,This is my first real job and I have always thought if I did not sit in front of my work computer in the morning and slave myself the whole world would just crash and burn .
Every day you can hear the same words Competition is fierce .,1,12,Every day you can hear the same word Competition is fierce .
Maybe I think I was too relaxed .,1,8,Maybe I think I wa too relaxed .
"When I was a child , I used to spend my holidays in my grandmother is village with my parents .",0,21,"When I wa a child , I used to spend my holiday in my grandmother is village with my parent ."
"This is oral speaking language , please correct my oral speaking method",1,12,"This is oral speaking language , please correct my oral speaking method"
But I can do it in my dream .,1,9,But I can do it in my dream .
He read it when after she was died .,0,9,He read it when after she wa died .
I am not going to be able to undergo the life like hert .,0,14,I am not going to be able to undergo the life like hert .
It recovered in about three months .,1,7,It recovered in about three month .
Thank you,0,2,Thank you
"Appreciated to these great writers , nowadays we can enjoy so many wonderful literature works , which help us improve accomplishment .",0,22,"Appreciated to these great writer , nowadays we can enjoy so many wonderful literature work , which help u improve accomplishment ."
It was a little birthday party . Classmates who were born in April were gathered at this party .,1,19,It wa a little birthday party . Classmates who were born in April were gathered at this party .
because I curious to when I was child what do I thinking .,0,13,because I curious to when I wa child what do I thinking .
and now i keep on playing both of them .,0,10,and now i keep on playing both of them .
Then I guess the directors have reflected their own experiences and imaginary to the Andrew .,0,16,Then I guess the director have reflected their own experience and imaginary to the Andrew .
I am currently studying English in High School .,0,9,I am currently studying English in High School .
"As you know , this movie is based on our unconscious in our dreams .",1,15,"As you know , this movie is based on our unconscious in our dream ."
Attending club activities can help students making friends .,0,9,Attending club activity can help student making friend .
" Of course , sometimes they can . .",1,9," Of course , sometimes they can . ."
"Today , I have the special class on how to do presentation .",0,13,"Today , I have the special class on how to do presentation ."
But golf is very difficult .,1,6,But golf is very difficult .
ReceptionistExplanation staff of show .,0,5,ReceptionistExplanation staff of show .
"In my case , I used to enjoy watching those stimulating movies .",1,13,"In my case , I used to enjoy watching those stimulating movie ."
So I tried some solutions .,0,6,So I tried some solution .
He said it is no need to grasp power .,0,10,He said it is no need to grasp power .
"Many complex processes , unfortunately , do not yield to this design procedure and have , therefore , not yet been automated .",1,23,"Many complex process , unfortunately , do not yield to this design procedure and have , therefore , not yet been automated ."
I hope Japanese sightseeing company will cheer up .,0,9,I hope Japanese sightseeing company will cheer up .
I hope I can make it .,0,7,I hope I can make it .
First Diary,0,2,First Diary
Echo of tennis balls,1,4,Echo of tennis ball
Give me Sweets and Champagne,0,5,Give me Sweets and Champagne
" Give it back to me , young lady ! I shouted .",0,13," Give it back to me , young lady ! I shouted ."
I will never say again,1,5,I will never say again
"In London , we had snow this morning . ",0,10,"In London , we had snow this morning . "
"If I were in his shoes , I would certainly get hurt by that word .",1,16,"If I were in his shoe , I would certainly get hurt by that word ."
"Actually , it was during the season of school trips .",1,11,"Actually , it wa during the season of school trip ."
"I am a second year high school student , so I will take it in one year .",1,18,"I am a second year high school student , so I will take it in one year ."
Especialy they have often an original or special lunch .,0,10,Especialy they have often an original or special lunch .
My favorite actor is Johnny Depp .,0,7,My favorite actor is Johnny Depp .
"She is busy , but her students are not considerate her .",0,12,"She is busy , but her student are not considerate her ."
"By the way , I want to buy electronic dictionary too , but I want to get free time the best .",0,22,"By the way , I want to buy electronic dictionary too , but I want to get free time the best ."
It is why ?,0,4,It is why ?
"as you know generally , Japanese believe in Buddhism but they have a good time then .",0,17,"a you know generally , Japanese believe in Buddhism but they have a good time then ."
I had to come home in the evening .,0,9,I had to come home in the evening .
I need to go to bed more earlier than as usuall .,0,12,I need to go to bed more earlier than a usuall .
The members of the group are specialized in musical entertainment and actuation .,1,13,The member of the group are specialized in musical entertainment and actuation .
What is the different point of GM and TOYOTA ?,1,10,What is the different point of GM and TOYOTA ?
But I have the final exam in this week .,0,10,But I have the final exam in this week .
It is almost bloom cherry - blossom .,1,8,It is almost bloom cherry - blossom .
Someone said it is almost impossible that shrinking ship by inside explosion .,1,13,Someone said it is almost impossible that shrinking ship by inside explosion .
The government does not determine which name is right .,1,10,The government doe not determine which name is right .
This week is called Cheese in Russia .,1,8,This week is called Cheese in Russia .
 pet hates something I hate,0,6, pet hate something I hate
The below sentenses are a part of my speech manuscript containing things which I felt in Canada .,0,18,The below sentenses are a part of my speech manuscript containing thing which I felt in Canada .
"Temperature outside falls down under - centigrade , ",0,9,"Temperature outside fall down under - centigrade , "
The series is just killing me .,1,7,The series is just killing me .
Why are they ?,0,4,Why are they ?
"The fact is that another newspaper the next day had written an article about my friend but , in this case , all that was published was true .",1,29,"The fact is that another newspaper the next day had written an article about my friend but , in this case , all that wa published wa true ."
Did you have a nice day ?,1,7,Did you have a nice day ?
The surgery took a short time almost mins and no pain but it was scary .,0,16,The surgery took a short time almost min and no pain but it wa scary .
"I feel some fright in facing them , feeling very easy at the same time .",1,16,"I feel some fright in facing them , feeling very easy at the same time ."
The company that I work is discussing .,0,8,The company that I work is discussing .
"Actually , I was feeling so scared to go to Mexico .",1,12,"Actually , I wa feeling so scared to go to Mexico ."
But the hydrangeas are blooming beautifully in my garden .,0,10,But the hydrangea are blooming beautifully in my garden .
"Now the PST rate in BC , which , combined with the GST results in a harmonized sales tax rate of .",0,22,"Now the PST rate in BC , which , combined with the GST result in a harmonized sale tax rate of ."
Thank you .,0,3,Thank you .
"More soft music , even songs from my parents ' years come often upon my CD player - perhaps I am really getting old and being nostalgic ",0,28,"More soft music , even song from my parent ' year come often upon my CD player - perhaps I am really getting old and being nostalgic "
"The same of our thinking , we finally got wonderful victory , and morale of team members were very high .",0,21,"The same of our thinking , we finally got wonderful victory , and morale of team member were very high ."
The cost must be cut back .,0,7,The cost must be cut back .
"Before that , I listened to English conversations recorded with my MD player sometimes .",0,15,"Before that , I listened to English conversation recorded with my MD player sometimes ."
But I think some people in other countries have longer name .,0,12,But I think some people in other country have longer name .
"Then I fried , drowned with water , and boiled them .",0,12,"Then I fried , drowned with water , and boiled them ."
Here it is getting colder and colder recently .,1,9,Here it is getting colder and colder recently .
Tonight I feel special about the saying Carpe Diem .,1,10,Tonight I feel special about the saying Carpe Diem .
The song I want is this .,1,7,The song I want is this .
"After I finished my military service , ",1,8,"After I finished my military service , "
"Indeed , I think I correspond to the specific profile you re looking for , a HR professional comfortable with numbers and a multicultural environment , and working in a large Japanese group with a mission within an international context would be particularly interesting .",1,45,"Indeed , I think I correspond to the specific profile you re looking for , a HR professional comfortable with number and a multicultural environment , and working in a large Japanese group with a mission within an international context would be particularly interesting ."
I wrote about a new steak house in my previous entry .,1,12,I wrote about a new steak house in my previous entry .
"Sometimes I suppose that there was a lottery in the Middle Ages , and someone bought it .",1,18,"Sometimes I suppose that there wa a lottery in the Middle Ages , and someone bought it ."
"But Actually , it is too many to choose a cloth .",0,12,"But Actually , it is too many to choose a cloth ."
I hope my team will win .,0,7,I hope my team will win .
Finally I spoke to the last man in black who I would not spoken to yet .,0,17,Finally I spoke to the last man in black who I would not spoken to yet .
They were speaking my lines theirself even if after the show finished .,0,13,They were speaking my line theirself even if after the show finished .
Day Today is aim .,1,5,Day Today is aim .
 Where are you from ?,1,6, Where are you from ?
"On the other hand , I think that almost all Americans or British do not pay such amount of money by cash but do by credit cards .",0,28,"On the other hand , I think that almost all Americans or British do not pay such amount of money by cash but do by credit card ."
Fireman Ed,1,2,Fireman Ed
"However , now I think that it is time to make a diet plan because I gained kg .",0,19,"However , now I think that it is time to make a diet plan because I gained kg ."
"In the lady s cottage , the boy found a lot of books and things he was interested in .",1,20,"In the lady s cottage , the boy found a lot of book and thing he wa interested in ."
See you .,1,3,See you .
"when i try to ask somebady , among them no one answer",0,12,"when i try to ask somebady , among them no one answer"
"I found out about this site in my English class , so this is the first time I have used it .",1,22,"I found out about this site in my English class , so this is the first time I have used it ."
"Today , I want to spend wonderful time .",0,9,"Today , I want to spend wonderful time ."
And someday the pets are going to die .,0,9,And someday the pet are going to die .
"But , it is very difficult .",0,7,"But , it is very difficult ."
Let it run loose in the home .,0,8,Let it run loose in the home .
"Go , Go , USA !",0,6,"Go , Go , USA !"
Joined another friend is chat at p .,1,8,Joined another friend is chat at p .
"I have been interested in the business , and especially I would like to be president someday .",0,18,"I have been interested in the business , and especially I would like to be president someday ."
"After all , I could not meet agroup of go to museum and went to the museum with my friend .",0,21,"After all , I could not meet agroup of go to museum and went to the museum with my friend ."
"As a result , I got hurt someone .",0,9,"As a result , I got hurt someone ."
Bike cover is turn over .,1,6,Bike cover is turn over .
A new digital piano came to my place last Sunday !,1,11,A new digital piano came to my place last Sunday !
I miscalculated a few times and had to rewrite it at each time .,0,14,I miscalculated a few time and had to rewrite it at each time .
"I do not know why , but",1,7,"I do not know why , but"
"Moreover , volunteers can be found in many activities which held by government , such as World Game in Kaohsiung and Flora Exposition in Taipei .",0,26,"Moreover , volunteer can be found in many activity which held by government , such a World Game in Kaohsiung and Flora Exposition in Taipei ."
I managed to get the presentation done today and was relieved .,1,12,I managed to get the presentation done today and wa relieved .
The girl sang instead of her dead boyfriend .,0,9,The girl sang instead of her dead boyfriend .
Here are some quotes .,0,5,Here are some quote .
But we played in the valley .,1,7,But we played in the valley .
I am afraid of being laughed at !,0,8,I am afraid of being laughed at !
I have made a big mistake .,1,7,I have made a big mistake .
I understood that his business would prove difficult .,1,9,I understood that his business would prove difficult .
English Shower,0,2,English Shower
It is easier to go around there by bicycle than taking a car .,0,14,It is easier to go around there by bicycle than taking a car .
How about in your country ?,0,6,How about in your country ?
"The fact is that another newspaper the next day had written an article about my friend but in this case , all that was published was true .",0,28,"The fact is that another newspaper the next day had written an article about my friend but in this case , all that wa published wa true ."
"If you are a gardener , you need to know what the pH of the soil is .",1,18,"If you are a gardener , you need to know what the pH of the soil is ."
"In addition , I like the dances and songs in Glee .",1,12,"In addition , I like the dance and song in Glee ."
" , Ugly Betty , LOST , etc .",1,9," , Ugly Betty , LOST , etc ."
We became friends soon .,0,5,We became friend soon .
I got up very late after a long time today .,1,11,I got up very late after a long time today .
so that is why they will lose a lot of chances to recognize a new friend .,0,17,so that is why they will lose a lot of chance to recognize a new friend .
I miss Minnesota .,1,4,I miss Minnesota .
"instead of , i met the other people .",0,9,"instead of , i met the other people ."
"By the way , I can not sleep now .",1,10,"By the way , I can not sleep now ."
At last days off !,0,5,At last day off !
"there is no cat . ' So I did not stop , because I had no reason to .",0,19,"there is no cat . ' So I did not stop , because I had no reason to ."
"If I press it , my number plate rises automatically . It was an anti - Japanese police system among stupid young Japanese riders lol .",1,26,"If I press it , my number plate rise automatically . It wa an anti - Japanese police system among stupid young Japanese rider lol ."
Day Today is aim .,0,5,Day Today is aim .
Do Asian faces all seem the same to you ?,1,10,Do Asian face all seem the same to you ?
Come on ,0,3,Come on 
Have a good day ! !,1,6,Have a good day ! !
It is hot and humid today .,0,7,It is hot and humid today .
"The weather was very nice and suitable for sleeping , so I did nt want to wake up this morning .",1,21,"The weather wa very nice and suitable for sleeping , so I did nt want to wake up this morning ."
I went to a night club with my friends and it could let me relax and have fun .,1,19,I went to a night club with my friend and it could let me relax and have fun .
coZ world cup .,0,4,coZ world cup .
I am crazy about such kind of challenging work .,0,10,I am crazy about such kind of challenging work .
Have a good day ! !,1,6,Have a good day ! !
I noticed red patches on my legs a few days ago .,1,12,I noticed red patch on my leg a few day ago .
We can order it comfortably .,0,6,We can order it comfortably .
"However , I m not sure if its detection effects show the same level in water sample as well as in food samples .",0,24,"However , I m not sure if it detection effect show the same level in water sample a well a in food sample ."
Tonight I feel special about a saying Carpe Diem .,0,10,Tonight I feel special about a saying Carpe Diem .
"Just now , I downloaded Google Earth version .",1,9,"Just now , I downloaded Google Earth version ."
"Could you please provide me with additional sentences , which are appropriate for similar cases ?",0,16,"Could you please provide me with additional sentence , which are appropriate for similar case ?"
He is soo cool ! ! ! ! !,0,9,He is soo cool ! ! ! ! !
"Unfortunately , I could not find the street she told me and went back and forth above hour .",0,19,"Unfortunately , I could not find the street she told me and went back and forth above hour ."
It is my first diary !,1,6,It is my first diary !
"However recently , I learned that it contains some ingredients which have health benefits .",0,15,"However recently , I learned that it contains some ingredient which have health benefit ."
Please advise if it is acceptable to you .,1,9,Please advise if it is acceptable to you .
But we usually focus on not speaking but reading according to grammer .,0,13,But we usually focus on not speaking but reading according to grammer .
Figure out what you are very good at doing - delegate or outsource the rest .,1,16,Figure out what you are very good at doing - delegate or outsource the rest .
"To my surprise , all the staff were elderly people !",1,11,"To my surprise , all the staff were elderly people !"
It is vending machine where it still places .,1,9,It is vending machine where it still place .
My voice is not good to hear .,1,8,My voice is not good to hear .
"Yesterday , I answered a telephone interview , which came from a special company named Oglive Advertising agency .",0,19,"Yesterday , I answered a telephone interview , which came from a special company named Oglive Advertising agency ."
This is a weakness in my character and I am ashamed even to have mentioned it .,1,17,This is a weakness in my character and I am ashamed even to have mentioned it .
Everywhere looked delicious .,1,4,Everywhere looked delicious .
The pieces of bread and some slices of almond were remained in the bottom of the paper bag .,0,19,The piece of bread and some slice of almond were remained in the bottom of the paper bag .
I feel I am Japanese .,1,6,I feel I am Japanese .
They are the ones who made the song I m every woman .,1,13,They are the one who made the song I m every woman .
You can understand the meanings of the following phrases .,1,10,You can understand the meaning of the following phrase .
I cooked dinner at .,0,5,I cooked dinner at .
It is my first contribution .,1,6,It is my first contribution .
Now I am working for an enterprise with foreign capital .,1,11,Now I am working for an enterprise with foreign capital .
"At first , I have only about ten friends and now I have about forty friends .",0,17,"At first , I have only about ten friend and now I have about forty friend ."
"I removed a clear film , a screen protector , from the screen , which I attached from the first day I began to use the iPod .",0,28,"I removed a clear film , a screen protector , from the screen , which I attached from the first day I began to use the iPod ."
Thank you in advance .,1,5,Thank you in advance .
"I need to review my past corrected sentences sometime , and need to be careful to write often missed things .",1,21,"I need to review my past corrected sentence sometime , and need to be careful to write often missed thing ."
"And importantly , with those frozen vegitables , I do not have to go to a supermarket again this week .",0,21,"And importantly , with those frozen vegitables , I do not have to go to a supermarket again this week ."
"Very beautiful , ",1,4,"Very beautiful , "
Koreans do not usually call others ' names unless they are friends or something .,1,15,Koreans do not usually call others ' name unless they are friend or something .
"Then , I talked on Skype .",0,7,"Then , I talked on Skype ."
Fight like a men .,0,5,Fight like a men .
"But when I was old year , I left police officer .",0,12,"But when I wa old year , I left police officer ."
He has been teaching English at kindergarten for years .,1,10,He ha been teaching English at kindergarten for year .
I had been going out with guys who wanted to go out with me .,1,15,I had been going out with guy who wanted to go out with me .
Is it OK where ' entirely ' is used despite the fact that it is an adverb ?,1,18,Is it OK where ' entirely ' is used despite the fact that it is an adverb ?
A bus can accommodate many people .,1,7,A bus can accommodate many people .
Keep the movment gentle .,0,5,Keep the movment gentle .
 And I want to ride the cat bus . !,1,11, And I want to ride the cat bus . !
"The ticket cost me RMB . I think it is very worthwhile , because the movie is absolutely wonderful ! !",1,21,"The ticket cost me RMB . I think it is very worthwhile , because the movie is absolutely wonderful ! !"
"Today , I hesitated to write good job ! when I read my friend is entry .",1,17,"Today , I hesitated to write good job ! when I read my friend is entry ."
I admire them .,0,4,I admire them .
My company suggests temporary vacation .,1,6,My company suggests temporary vacation .
"The faithful pilgrims , especially those in need of healing , immerse themselves in the grotto hoping for cures and blessing .",1,22,"The faithful pilgrim , especially those in need of healing , immerse themselves in the grotto hoping for cure and blessing ."
It is finance .,0,4,It is finance .
"I wanted to be very much , but now my willpower is not so strong as before .",1,18,"I wanted to be very much , but now my willpower is not so strong a before ."
"If it is classic music , a goal is I play it well .",0,14,"If it is classic music , a goal is I play it well ."
"She is a mixed race , so called mix white .",1,11,"She is a mixed race , so called mix white ."
"As I expected , I could not do well in the interview .",0,13,"As I expected , I could not do well in the interview ."
"I would nt strongly recommend this film , but , well , it has a few funny points and it s not completely boring .",1,25,"I would nt strongly recommend this film , but , well , it ha a few funny point and it s not completely boring ."
I am running out of physical energy .,1,8,I am running out of physical energy .
A Going well !,0,4,A Going well !
"But for most Chinese young people , they prefer their parents to live with them .",0,16,"But for most Chinese young people , they prefer their parent to live with them ."
" for the plot , extra for it is one of my favorite subjects .",0,15," for the plot , extra for it is one of my favorite subject ."
"Tokyo is a large and modern city , but there is still a suburban area filled with green and nature .",0,21,"Tokyo is a large and modern city , but there is still a suburban area filled with green and nature ."
Tomorrow I will find out whether I pass it or not .,1,12,Tomorrow I will find out whether I pas it or not .
Money talks,0,2,Money talk
"He said , ' Never ! ' I said , ' If not , you ca not watch TV . ' .",1,22,"He said , ' Never ! ' I said , ' If not , you ca not watch TV . ' ."
I am about to sleep so I am going to write only in English .,0,15,I am about to sleep so I am going to write only in English .
But the reason why I ca not decide to buy it is caused by one of the bad news .,0,20,But the reason why I ca not decide to buy it is caused by one of the bad news .
Why do not you take some little worlds in using the macro lens ?,0,14,Why do not you take some little world in using the macro lens ?
It does not matter if they are vegitarian or not .,0,11,It doe not matter if they are vegitarian or not .
We all call his MR .,0,6,We all call his MR .
They seemed to be little bit drunk .,0,8,They seemed to be little bit drunk .
She answered that she knew lang - two years ago .,1,11,She answered that she knew lang - two year ago .
And someone was waiting too .,0,6,And someone wa waiting too .
People naturally resist making changes in their lives .,0,9,People naturally resist making change in their life .
Here is the quote I like .,0,7,Here is the quote I like .
This movie has a lot of talk about everyday life in America .,1,13,This movie ha a lot of talk about everyday life in America .
I do not like myself .,1,6,I do not like myself .
This smile makes me happy .,1,6,This smile make me happy .
"So , I am really excited ! !",0,8,"So , I am really excited ! !"
"good , Let is go back home ! ! ! ! ! ! ! !",0,15,"good , Let is go back home ! ! ! ! ! ! ! !"
I do not care couple JAPANESE are facing thier conducts .,0,11,I do not care couple JAPANESE are facing thier conduct .
"I have been searching for a file which is used to put my stationery , some notes and an English text book a friend gave me which I used for studying English .",1,33,"I have been searching for a file which is used to put my stationery , some note and an English text book a friend gave me which I used for studying English ."
I went shopping in Shinjuku with my mother today .,1,10,I went shopping in Shinjuku with my mother today .
"Today , the bacon was special sale .",0,8,"Today , the bacon wa special sale ."
"Now many toothpastes contain fluorine and the dentists coat my teeth with fluorine , which tastes awful when I go to check up .",1,24,"Now many toothpaste contain fluorine and the dentist coat my teeth with fluorine , which taste awful when I go to check up ."
Which phrase is more natural,1,5,Which phrase is more natural
"If you win , you continuously develop like this Egg - Chicken - Dinosaur - Star CHAMPION !",0,18,"If you win , you continuously develop like this Egg - Chicken - Dinosaur - Star CHAMPION !"
I ca nt stay calm when I enter a bag shop . ,1,13,I ca nt stay calm when I enter a bag shop . 
They got a box from the wrecked ship and there was a map in it .,1,16,They got a box from the wrecked ship and there wa a map in it .
I can go to the store .,1,7,I can go to the store .
If happiness and love are only saturation of the neurons with phenyl - ethylamine .,1,15,If happiness and love are only saturation of the neuron with phenyl - ethylamine .
Because the next day was holiday .,1,7,Because the next day wa holiday .
"I mean , I search the Web and find the answer .",0,12,"I mean , I search the Web and find the answer ."
Thank you for reading my journal entry .,1,8,Thank you for reading my journal entry .
"Finally , put a lot of oil and salt into the pan .",1,13,"Finally , put a lot of oil and salt into the pan ."
My class was a class for children aged . ,1,10,My class wa a class for child aged . 
He did not let us bore at any time for forty minutes in his class .,0,16,He did not let u bore at any time for forty minute in his class .
"Meanwhile , I really enjoyed taking the lecture , and I am very looking forward to next week .",0,19,"Meanwhile , I really enjoyed taking the lecture , and I am very looking forward to next week ."
"And finally , happy vacation !",1,6,"And finally , happy vacation !"
"Anyway , I want to make friends with English or French native speakers .",1,14,"Anyway , I want to make friend with English or French native speaker ."
But I was disappointed with food .,0,7,But I wa disappointed with food .
"I am not tend to write so seriously As the report is still not done , I will do stick it out !",0,23,"I am not tend to write so seriously As the report is still not done , I will do stick it out !"
I think it could make good taste .,1,8,I think it could make good taste .
"For example , one hospital in Japan has a ' baby post ' where a mother who can not raise her baby can leave her baby .",1,27,"For example , one hospital in Japan ha a ' baby post ' where a mother who can not raise her baby can leave her baby ."
Its the ? name is AudisionSEA .,0,7,Its the ? name is AudisionSEA .
"Finally , it is friday ! ! !",0,8,"Finally , it is friday ! ! !"
My wife and I thought that we could make vegetables ourselves .,1,12,My wife and I thought that we could make vegetable ourselves .
"Hopefully , the starvation would be addressed instantly .",0,9,"Hopefully , the starvation would be addressed instantly ."
Spring Wind,0,2,Spring Wind
"Nowruz , Iranian New Year - ",0,7,"Nowruz , Iranian New Year - "
"By then , an increasing number of families will hold amphibious cars , as which will be very popular and not expensive for the ordinary family .",1,27,"By then , an increasing number of family will hold amphibious car , a which will be very popular and not expensive for the ordinary family ."
Who have ever tried to take it ?,0,8,Who have ever tried to take it ?
"A news reporter said , Most people in the world do not clean their ears . ",1,17,"A news reporter said , Most people in the world do not clean their ear . "
We will crucify the insincere tonight,0,6,We will crucify the insincere tonight
"It looks cute , does not it ?",1,8,"It look cute , doe not it ?"
"One man is my teacher , the other man is the same student as me .",1,16,"One man is my teacher , the other man is the same student a me ."
You can view it anywhere with any device .,0,9,You can view it anywhere with any device .
In one vase she would put flowers and in another .,0,11,In one vase she would put flower and in another .
"I do not remember exactly how long we waited , but it seemed forever .",0,15,"I do not remember exactly how long we waited , but it seemed forever ."
I m going to be a dad .,0,8,I m going to be a dad .
Question to you,1,3,Question to you
"Seated in a wheelchair and speaking through a computer can not discourage Hawking , for no way is impossible to courage .",1,22,"Seated in a wheelchair and speaking through a computer can not discourage Hawking , for no way is impossible to courage ."
It was very comfortable for me .,1,7,It wa very comfortable for me .
"In the whole campaign against the cold virus , I did not take any medicines .",0,16,"In the whole campaign against the cold virus , I did not take any medicine ."
Book translation - ,1,4,Book translation - 
so poor .,0,3,so poor .
Today my teachers gave me lots of homeworks .,0,9,Today my teacher gave me lot of homework .
But Kim tea hee does not eat for hours like I do .,1,13,But Kim tea hee doe not eat for hour like I do .
"To live in a small town or a big city , which is better ?",0,15,"To live in a small town or a big city , which is better ?"
All I can do now is to pray .,1,9,All I can do now is to pray .
"So , I do not know what to do .",1,10,"So , I do not know what to do ."
"In short , the twentieth century has brought many facilities to the current generation .",0,15,"In short , the twentieth century ha brought many facility to the current generation ."
My summer vacation has finished ,1,6,My summer vacation ha finished 
"recently , my flesh is growing and growing .",0,9,"recently , my flesh is growing and growing ."
"I do not regret taking up Italian , even if I am rusty because I have not spoken this language for over six years .",1,25,"I do not regret taking up Italian , even if I am rusty because I have not spoken this language for over six year ."
"First , I have formed a habit of studying under great pressure . I am a hard - working man . Second , I am independent , and always try to use my own methods to solve problems . Third , I am honest . ",1,46,"First , I have formed a habit of studying under great pressure . I am a hard - working man . Second , I am independent , and always try to use my own method to solve problem . Third , I am honest . "
See you .,1,3,See you .
His property is only an old suitcase .,0,8,His property is only an old suitcase .
"The time when health is very important , I think .",1,11,"The time when health is very important , I think ."
very sleepy,0,2,very sleepy
because my grandmum have to go to hospital this morning .,0,11,because my grandmum have to go to hospital this morning .
But this was far more difficult for us than for other teams .,1,13,But this wa far more difficult for u than for other team .
I found an interesting can yesterday .,1,7,I found an interesting can yesterday .
"Now I am held by myself , and I feel my own spirit is warmth .",1,16,"Now I am held by myself , and I feel my own spirit is warmth ."
"But one thing that I do not understand is that when I have to speak it is like I do not know anything about grammar , words , pronunciation , but when I write I am not that bad as you can see .",1,44,"But one thing that I do not understand is that when I have to speak it is like I do not know anything about grammar , word , pronunciation , but when I write I am not that bad a you can see ."
"I am free from companies now , so I enjoy feeling that I am my boss .",1,17,"I am free from company now , so I enjoy feeling that I am my bos ."
Do you have phobia of heights ?,1,7,Do you have phobia of height ?
 . . ,1,4, . . 
"Another man has a penlight , so the man asks the another man to shed light on the book .",0,20,"Another man ha a penlight , so the man asks the another man to shed light on the book ."
I did not have an umbrella today .,0,8,I did not have an umbrella today .
I want to submit my report to professor by email .,0,11,I want to submit my report to professor by email .
 So .,0,3, So .
I felt happier than usual .,1,6,I felt happier than usual .
"Even though it has been improved daramatically , it still remains now .",0,13,"Even though it ha been improved daramatically , it still remains now ."
I am so sleepy .,1,5,I am so sleepy .
"Then she asked me , How do you say in English Black framed glasses are popular in Japan ? Although I know she is nervous about English , I have no idea why she wants to know that expression for the first thing !",1,44,"Then she asked me , How do you say in English Black framed glass are popular in Japan ? Although I know she is nervous about English , I have no idea why she want to know that expression for the first thing !"
Things Japanese ,1,3,Things Japanese 
I wished I could play the guitar like him .,1,10,I wished I could play the guitar like him .
My uncle sent me ten ears of corn and so many potatoes from Hokkaido .,1,15,My uncle sent me ten ear of corn and so many potato from Hokkaido .
It is difficult for me to make sentences quickly .,1,10,It is difficult for me to make sentence quickly .
Stressful life,1,2,Stressful life
I decided to study English for hours a month .,1,10,I decided to study English for hour a month .
But if it was true .,1,6,But if it wa true .
The reason is that,1,4,The reason is that
I have to prepare an emergency kit quickly .,0,9,I have to prepare an emergency kit quickly .
They have so delicious and good volume food and precious wine .,0,12,They have so delicious and good volume food and precious wine .
"When I was a high school student , I used to read novels .",1,14,"When I wa a high school student , I used to read novel ."
"However , while he is training as the receiver , he comes to realize that his living world is strange .",1,21,"However , while he is training a the receiver , he come to realize that his living world is strange ."
"I think , you can use the first one when you want to express that you have no enough to live on .",0,23,"I think , you can use the first one when you want to express that you have no enough to live on ."
 She likes to play basketball . ,0,8, She like to play basketball . 
One of my colleagues was robbed of his wallet in this morning at the front of his friend s house in Long Beach .,0,24,One of my colleague wa robbed of his wallet in this morning at the front of his friend s house in Long Beach .
New Year,1,2,New Year
" Here you are . Umm , it is a little strange ?",0,13," Here you are . Umm , it is a little strange ?"
I will try to go to bed .,0,8,I will try to go to bed .
Sometimes violence is the only solution .,1,7,Sometimes violence is the only solution .
I got failing marks in them .,0,7,I got failing mark in them .
My husband went to thailand with his business trip three weeks ago .,0,13,My husband went to thailand with his business trip three week ago .
The fact that we could have a good walking with good friends is a very precious thing .,0,18,The fact that we could have a good walking with good friend is a very precious thing .
You might see a familiar scene for the Japanese in which two persons argue in front of a cashier ,0,20,You might see a familiar scene for the Japanese in which two person argue in front of a cashier 
I ca not speak fluent English but I will get more English studies .,0,14,I ca not speak fluent English but I will get more English study .
"Yeah , actually , the character is a baby .",1,10,"Yeah , actually , the character is a baby ."
"Yes , tiny mildew was on the inside of it .",1,11,"Yes , tiny mildew wa on the inside of it ."
Even the coffee - maker now has a Powered by Kaspersky sign on it .,0,15,Even the coffee - maker now ha a Powered by Kaspersky sign on it .
My English is so terrible .,1,6,My English is so terrible .
Have you ever fell ?,1,5,Have you ever fell ?
"Today , when I went to work , I felt that the atmosphere of the restaurant was really something quiet .",1,21,"Today , when I went to work , I felt that the atmosphere of the restaurant wa really something quiet ."
"It is activity is on Monday , Thursday and Saturday !",1,11,"It is activity is on Monday , Thursday and Saturday !"
Woohoo ,1,2,Woohoo 
I do not think you should compare a movie and a novel .,1,13,I do not think you should compare a movie and a novel .
